No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
2709,SMACS J0723-7327:[ICR2022] 069,110.85886,-73.46619,IrS,117369.0,0.3915,SLS,,1.62,2,0,0,2,2,0,0
2710,[CSM2022] 1361,110.8589,-73.4693,G,122195.0,0.4076,SLS,,1.806,2,0,0,2,1,0,0
2711,SMACS J0723-7327:[ICR2022] 354,110.85892,-73.44653,IrS,323056.0,1.0776,S1L,,0.457,2,0,0,2,2,0,0
2712,SMACS J0723-7327:[ICR2022] 216,110.85893,-73.45689,IrS,0.0,0.0,PSE,,1.065,1,0,0,1,1,0,0
2713,WISEA J072326.19-732651.2,110.85914,-73.44757,IrS,104927.0,0.35,PSE,,0.518,1,0,12,2,1,0,0
2714,SMACS J0723:[NDA2023] 00962,110.85927,-73.4393,G,380287.0,1.2685,S1L,,0.15,1,0,0,1,1,0,0
2715,SMACS J0723-7327:[LCB2023]1491,110.85927,-73.44123,G,818434.0,2.73,SLS,,0.189,1,0,0,1,1,0,0
2716,[HOO2023] F150DB-090,110.85929,-73.43717,G,956338.0,3.19,PSE,,0.197,2,0,0,2,3,0,0
2717,[SMB2022] 04590,110.85938,-73.44915,G_Lens,2547007.0,8.4959,SLS,,0.61,17,0,0,18,39,0,0
2718,SMACS J0723-7327:[ICR2022] 231,110.85941,-73.45608,IrS,89938.0,0.3,PSE,,1.018,1,0,0,1,1,0,0
2721,SMACS J0723-7327:[SCB2020]1430,110.85955,-73.47211,G,1650358.0,5.505,PUN,,1.975,1,0,0,1,1,0,0
2723,SMACS J0723-7327:[LCB2023]1361,110.85977,-73.4442,G,819483.0,2.7335,S1L,,0.334,2,0,0,2,3,0,0
2724,SMACS J0723-7327:[ICR2022] 337,110.85985,-73.4484,IrS,89938.0,0.3,PSE,,0.569,1,0,0,1,1,0,0
2725,[ASF2023] SMACS0723_z16a,110.85996,-73.46792,G,4775695.0,15.93,PUN,,1.725,3,0,0,3,7,0,0
